Start          ;End            ;Activity;LifeCycles
16/11/2012 15:17;16/11/2012 18:04;Leaving;5
16/11/2012 18:09;16/11/2012 18:10;Toileting;5
16/11/2012 18:11;16/11/2012 18:15;Snack;5
16/11/2012 18:16;16/11/2012 21:38;Spare_Time/TV;5
16/11/2012 22:10;16/11/2012 22:10;Grooming;5
16/11/2012 22:18;17/11/2012 02:19;Leaving;5
17/11/2012 02:26;17/11/2012 02:29;Grooming;5
17/11/2012 02:31;17/11/2012 02:31;Toileting;5
17/11/2012 02:32;17/11/2012 02:33;Grooming;5
17/11/2012 02:34;17/11/2012 09:46;Sleeping;6
17/11/2012 09:52;17/11/2012 09:53;Toileting;6
17/11/2012 09:57;17/11/2012 10:03;Breakfast;6
17/11/2012 10:18;17/11/2012 10:20;Showering;6
17/11/2012 10:21;17/11/2012 10:34;Grooming;6
17/11/2012 10:38;17/11/2012 10:42;Grooming;6
17/11/2012 10:47;17/11/2012 12:14;Leaving;6
17/11/2012 12:35;17/11/2012 12:43;Grooming;6
17/11/2012 12:45;17/11/2012 14:31;Spare_Time/TV;6
17/11/2012 14:42;17/11/2012 16:24;Leaving;6
17/11/2012 16:30;17/11/2012 16:30;Toileting;6
17/11/2012 16:31;17/11/2012 16:31;Grooming;6
17/11/2012 16:32;17/11/2012 17:28;Spare_Time/TV;6
17/11/2012 17:39;17/11/2012 20:26;Spare_Time/TV;6
17/11/2012 20:26;17/11/2012 20:31;Snack;6
17/11/2012 20:44;17/11/2012 20:45;Toileting;6
17/11/2012 20:46;17/11/2012 20:46;Grooming;6
17/11/2012 20:54;17/11/2012 20:55;Grooming;6
17/11/2012 21:19;18/11/2012 00:31;Leaving;6
18/11/2012 00:39;18/11/2012 01:34;Spare_Time/TV;6
18/11/2012 01:39;18/11/2012 08:57;Sleeping;7
18/11/2012 09:05;18/11/2012 09:06;Toileting;7
18/11/2012 09:07;18/11/2012 09:14;Breakfast;7
18/11/2012 09:22;18/11/2012 09:29;Showering;7
18/11/2012 09:30;18/11/2012 09:44;Grooming;7
18/11/2012 09:59;18/11/2012 10:06;Leaving;7
18/11/2012 10:36;18/11/2012 10:49;Spare_Time/TV;7
18/11/2012 10:53;18/11/2012 14:34;Leaving;7
18/11/2012 14:50;18/11/2012 14:57;Lunch;7
18/11/2012 17:14;18/11/2012 17:20;Snack;7
18/11/2012 17:25;18/11/2012 17:26;Toileting;7
18/11/2012 17:27;18/11/2012 17:30;Grooming;7
18/11/2012 17:44;18/11/2012 17:44;Grooming;7
18/11/2012 17:45;18/11/2012 19:40;Spare_Time/TV;7
18/11/2012 19:53;18/11/2012 22:23;Leaving;7
18/11/2012 22:24;18/11/2012 22:26;Dinner;7
18/11/2012 22:30;18/11/2012 22:42;Grooming;7
18/11/2012 22:43;18/11/2012 22:59;Spare_Time/TV;7
18/11/2012 23:00;18/11/2012 23:02;Snack;7
18/11/2012 23:03;18/11/2012 23:03;Grooming;7
18/11/2012 23:05;19/11/2012 00:08;Spare_Time/TV;7
19/11/2012 00:12;19/11/2012 00:12;Toileting;7
19/11/2012 00:13;19/11/2012 10:09;Sleeping;8
19/11/2012 10:11;19/11/2012 10:12;Toileting;8
19/11/2012 10:13;19/11/2012 10:25;Breakfast;8
19/11/2012 10:34;19/11/2012 11:27;Spare_Time/TV;8
19/11/2012 11:51;19/11/2012 12:01;Grooming;8
19/11/2012 12:04;19/11/2012 12:11;Showering;8
19/11/2012 12:14;19/11/2012 12:15;Toileting;8
19/11/2012 12:17;19/11/2012 12:18;Grooming;8
19/11/2012 12:29;19/11/2012 12:33;Grooming;8
19/11/2012 12:41;19/11/2012 14:26;Spare_Time/TV;8
19/11/2012 14:27;19/11/2012 14:27;Grooming;8
19/11/2012 14:29;19/11/2012 14:29;Grooming;8
19/11/2012 14:30;19/11/2012 14:30;Toileting;8
19/11/2012 14:31;19/11/2012 15:52;Leaving;8
19/11/2012 15:54;19/11/2012 15:54;Toileting;8
19/11/2012 15:55;19/11/2012 16:07;Snack;8
19/11/2012 16:08;19/11/2012 19:44;Spare_Time/TV;8
19/11/2012 19:56;19/11/2012 21:59;Spare_Time/TV;8
19/11/2012 21:59;19/11/2012 22:04;Dinner;8
19/11/2012 22:25;19/11/2012 22:29;Grooming;8
19/11/2012 22:31;19/11/2012 22:32;Snack;8
19/11/2012 22:32;20/11/2012 01:22;Spare_Time/TV;8
20/11/2012 01:23;20/11/2012 01:24;Toileting;8
20/11/2012 01:25;20/11/2012 09:58;Sleeping;9
20/11/2012 10:19;20/11/2012 10:20;Toileting;9
20/11/2012 10:21;20/11/2012 10:30;Breakfast;9
20/11/2012 10:40;20/11/2012 10:58;Grooming;9
20/11/2012 11:00;20/11/2012 11:14;Snack;9
20/11/2012 11:15;20/11/2012 12:55;Spare_Time/TV;9
20/11/2012 13:01;20/11/2012 13:02;Toileting;9
20/11/2012 13:03;20/11/2012 13:09;Snack;9
20/11/2012 13:33;20/11/2012 14:24;Spare_Time/TV;9
20/11/2012 14:25;20/11/2012 14:56;Lunch;9
20/11/2012 15:12;20/11/2012 15:43;Spare_Time/TV;9
20/11/2012 15:54;20/11/2012 15:55;Toileting;9
20/11/2012 15:59;20/11/2012 20:31;Leaving;9
20/11/2012 20:34;20/11/2012 21:51;Spare_Time/TV;9
20/11/2012 21:57;21/11/2012 00:02;Spare_Time/TV;9
21/11/2012 00:03;21/11/2012 00:04;Grooming;9
21/11/2012 00:08;21/11/2012 00:08;Toileting;9
21/11/2012 00:09;21/11/2012 00:09;Grooming;9
21/11/2012 00:12;21/11/2012 09:53;Sleeping;10
21/11/2012 09:59;21/11/2012 10:00;Toileting;10
21/11/2012 10:01;21/11/2012 10:06;Breakfast;10
21/11/2012 10:07;21/11/2012 11:32;Spare_Time/TV;10
21/11/2012 11:37;21/11/2012 11:44;Grooming;10
21/11/2012 11:48;21/11/2012 11:48;Toileting;10
21/11/2012 11:49;21/11/2012 11:52;Grooming;10
21/11/2012 12:01;21/11/2012 12:26;Leaving;10
21/11/2012 12:45;21/11/2012 13:27;Spare_Time/TV;10
21/11/2012 14:10;21/11/2012 15:01;Spare_Time/TV;10
21/11/2012 15:02;21/11/2012 15:31;Lunch;10
21/11/2012 15:32;21/11/2012 15:53;Spare_Time/TV;10
21/11/2012 15:57;21/11/2012 17:49;Spare_Time/TV;10
21/11/2012 17:50;21/11/2012 17:55;Snack;10
21/11/2012 17:56;21/11/2012 21:01;Spare_Time/TV;10
21/11/2012 21:08;21/11/2012 21:09;Toileting;10
21/11/2012 21:18;22/11/2012 01:40;Leaving;10
22/11/2012 01:40;22/11/2012 01:42;Snack;10
22/11/2012 01:47;22/11/2012 01:47;Grooming;10
22/11/2012 01:55;22/11/2012 10:11;Sleeping;11
22/11/2012 10:16;22/11/2012 10:17;Toileting;11
22/11/2012 10:19;22/11/2012 10:42;Breakfast;11
22/11/2012 11:02;22/11/2012 11:10;Snack;11
22/11/2012 11:11;22/11/2012 11:56;Spare_Time/TV;11
22/11/2012 11:12;22/11/2012 11:55;Spare_Time/TV;11
22/11/2012 11:56;22/11/2012 12:09;Snack;11
22/11/2012 12:20;22/11/2012 12:31;Grooming;11
22/11/2012 12:38;22/11/2012 14:56;Spare_Time/TV;11
22/11/2012 15:04;22/11/2012 15:04;Toileting;11
22/11/2012 15:05;22/11/2012 15:27;Lunch;11
22/11/2012 15:27;22/11/2012 16:42;Spare_Time/TV;11
22/11/2012 16:43;22/11/2012 16:52;Snack;11
22/11/2012 16:53;22/11/2012 18:15;Spare_Time/TV;11
22/11/2012 18:15;22/11/2012 18:18;Snack;11
22/11/2012 18:19;22/11/2012 20:23;Spare_Time/TV;11
22/11/2012 21:01;22/11/2012 21:02;Grooming;11
22/11/2012 21:05;22/11/2012 21:05;Toileting;11
22/11/2012 21:06;23/11/2012 00:34;Leaving;11
23/11/2012 00:36;23/11/2012 00:38;Snack;11
23/11/2012 00:44;23/11/2012 00:44;Toileting;11
23/11/2012 00:45;23/11/2012 00:46;Grooming;11
23/11/2012 00:48;23/11/2012 01:32;Spare_Time/TV;11
23/11/2012 01:33;23/11/2012 01:33;Grooming;11
23/11/2012 01:34;23/11/2012 09:40;Sleeping;12
23/11/2012 09:44;23/11/2012 09:45;Toileting;12
23/11/2012 09:49;23/11/2012 09:59;Breakfast;12
23/11/2012 10:32;23/11/2012 10:38;Grooming;12
23/11/2012 10:43;23/11/2012 10:47;Grooming;12
23/11/2012 10:48;23/11/2012 10:52;Grooming;12
23/11/2012 10:56;23/11/2012 12:35;Sleeping;12
23/11/2012 12:53;23/11/2012 12:56;Snack;12
23/11/2012 13:03;23/11/2012 13:03;Grooming;12
23/11/2012 13:05;23/11/2012 14:23;Spare_Time/TV;12
23/11/2012 14:23;23/11/2012 14:38;Lunch;12
23/11/2012 14:40;23/11/2012 14:41;Toileting;12
23/11/2012 14:52;23/11/2012 16:49;Spare_Time/TV;12
23/11/2012 16:55;23/11/2012 16:56;Toileting;12
23/11/2012 16:57;23/11/2012 17:10;Snack;12
23/11/2012 17:11;23/11/2012 17:57;Spare_Time/TV;12
23/11/2012 17:58;23/11/2012 18:00;Snack;12
23/11/2012 18:07;23/11/2012 19:50;Spare_Time/TV;12
23/11/2012 19:53;23/11/2012 22:03;Leaving;12
23/11/2012 22:07;23/11/2012 22:08;Toileting;12
23/11/2012 22:17;24/11/2012 00:27;Spare_Time/TV;12
24/11/2012 00:27;24/11/2012 00:32;Grooming;12
24/11/2012 00:33;24/11/2012 10:02;Sleeping;13
24/11/2012 10:04;24/11/2012 10:12;Breakfast;13
24/11/2012 10:17;24/11/2012 10:18;Toileting;13
24/11/2012 10:19;24/11/2012 11:13;Spare_Time/TV;13
24/11/2012 11:16;24/11/2012 11:19;Snack;13
24/11/2012 11:30;24/11/2012 11:38;Showering;13
24/11/2012 11:39;24/11/2012 11:52;Grooming;13
24/11/2012 11:59;24/11/2012 12:00;Grooming;13
24/11/2012 12:01;24/11/2012 12:02;Toileting;13
24/11/2012 12:09;24/11/2012 12:23;Snack;13
24/11/2012 12:31;24/11/2012 13:18;Spare_Time/TV;13
24/11/2012 13:50;24/11/2012 14:31;Spare_Time/TV;13
24/11/2012 14:32;24/11/2012 14:32;Grooming;13
24/11/2012 14:36;24/11/2012 15:59;Leaving;13
24/11/2012 16:00;24/11/2012 16:00;Toileting;13
24/11/2012 16:01;24/11/2012 16:01;Grooming;13
24/11/2012 16:02;24/11/2012 16:02;Toileting;13
24/11/2012 16:03;24/11/2012 16:03;Grooming;13
24/11/2012 16:04;24/11/2012 19:57;Spare_Time/TV;13
24/11/2012 19:58;24/11/2012 19:59;Snack;13
24/11/2012 20:08;24/11/2012 20:31;Spare_Time/TV;13
24/11/2012 22:01;24/11/2012 22:01;Toileting;13
24/11/2012 22:02;24/11/2012 22:16;Spare_Time/TV;13
24/11/2012 22:17;24/11/2012 22:18;Dinner;13
24/11/2012 22:19;24/11/2012 23:20;Spare_Time/TV;13
24/11/2012 23:21;24/11/2012 23:22;Snack;13
24/11/2012 23:23;25/11/2012 00:44;Spare_Time/TV;13
25/11/2012 00:45;25/11/2012 00:47;Grooming;13
25/11/2012 00:48;25/11/2012 01:48;Spare_Time/TV;13
25/11/2012 01:50;25/11/2012 09:24;Sleeping;14
25/11/2012 09:29;25/11/2012 09:29;Toileting;14
25/11/2012 09:30;25/11/2012 09:30;Grooming;14
25/11/2012 09:43;25/11/2012 09:43;Toileting;14
25/11/2012 09:44;25/11/2012 09:54;Grooming;14
25/11/2012 09:55;25/11/2012 09:56;Toileting;14
25/11/2012 10:03;25/11/2012 10:07;Breakfast;14
25/11/2012 10:22;25/11/2012 10:41;Spare_Time/TV;14
25/11/2012 10:44;25/11/2012 13:39;Leaving;14
25/11/2012 13:41;25/11/2012 13:45;Toileting;14
25/11/2012 13:50;25/11/2012 14:38;Spare_Time/TV;14
25/11/2012 14:41;25/11/2012 14:59;Lunch;14
25/11/2012 15:47;25/11/2012 15:48;Snack;14
25/11/2012 15:58;25/11/2012 20:10;Leaving;14
25/11/2012 20:13;25/11/2012 20:14;Toileting;14
25/11/2012 20:15;25/11/2012 22:01;Spare_Time/TV;14
25/11/2012 22:13;25/11/2012 22:14;Dinner;14
25/11/2012 22:14;25/11/2012 23:20;Spare_Time/TV;14
25/11/2012 23:25;26/11/2012 01:28;Spare_Time/TV;14
26/11/2012 01:31;26/11/2012 01:31;Toileting;14
26/11/2012 01:32;26/11/2012 08:50;Sleeping;15
26/11/2012 08:55;26/11/2012 08:55;Toileting;15
26/11/2012 08:56;26/11/2012 09:43;Sleeping;15
26/11/2012 09:50;26/11/2012 09:51;Toileting;15
26/11/2012 09:57;26/11/2012 10:04;Breakfast;15
26/11/2012 10:42;26/11/2012 10:48;Showering;15
26/11/2012 10:52;26/11/2012 11:01;Grooming;15
26/11/2012 11:11;26/11/2012 11:14;Grooming;15
26/11/2012 11:15;26/11/2012 11:16;Toileting;15
26/11/2012 11:34;26/11/2012 11:59;Leaving;15
26/11/2012 12:04;26/11/2012 12:51;Spare_Time/TV;15
26/11/2012 12:52;26/11/2012 18:54;Leaving;15
26/11/2012 19:00;26/11/2012 19:01;Toileting;15
26/11/2012 19:09;26/11/2012 21:03;Spare_Time/TV;15
26/11/2012 21:17;27/11/2012 01:27;Leaving;15
27/11/2012 01:37;27/11/2012 01:38;Grooming;15
27/11/2012 01:41;27/11/2012 01:41;Toileting;15
27/11/2012 01:42;27/11/2012 01:43;Grooming;15
27/11/2012 01:43;27/11/2012 10:12;Sleeping;16
27/11/2012 10:18;27/11/2012 10:19;Toileting;16
27/11/2012 10:20;27/11/2012 10:30;Breakfast;16
27/11/2012 10:46;27/11/2012 11:44;Spare_Time/TV;16
27/11/2012 11:53;27/11/2012 11:53;Grooming;16
27/11/2012 11:54;27/11/2012 11:54;Snack;16
27/11/2012 11:58;27/11/2012 12:23;Spare_Time/TV;16
27/11/2012 12:25;27/11/2012 12:25;Toileting;16
27/11/2012 12:26;27/11/2012 13:22;Spare_Time/TV;16
27/11/2012 13:32;27/11/2012 13:40;Grooming;16
27/11/2012 13:41;27/11/2012 13:53;Showering;16
27/11/2012 13:54;27/11/2012 13:54;Grooming;16
27/11/2012 14:10;27/11/2012 14:34;Spare_Time/TV;16
27/11/2012 14:38;27/11/2012 16:14;Leaving;16
27/11/2012 16:22;27/11/2012 18:50;Spare_Time/TV;16
27/11/2012 19:11;27/11/2012 19:44;Spare_Time/TV;16
27/11/2012 19:46;27/11/2012 19:46;Snack;16
27/11/2012 19:47;27/11/2012 20:59;Spare_Time/TV;16
27/11/2012 21:01;27/11/2012 21:02;Grooming;16
27/11/2012 21:04;27/11/2012 21:05;Toileting;16
27/11/2012 21:06;27/11/2012 21:06;Grooming;16
27/11/2012 21:12;28/11/2012 01:37;Leaving;16
28/11/2012 01:41;28/11/2012 01:42;Grooming;16
28/11/2012 01:49;28/11/2012 01:50;Toileting;16
28/11/2012 01:51;28/11/2012 09:16;Sleeping;17
28/11/2012 09:23;28/11/2012 09:25;Toileting;17
28/11/2012 09:27;28/11/2012 09:45;Breakfast;17
28/11/2012 09:46;28/11/2012 09:46;Grooming;17
28/11/2012 09:50;28/11/2012 09:56;Grooming;17
28/11/2012 10:00;28/11/2012 10:01;Toileting;17
28/11/2012 10:04;28/11/2012 10:05;Grooming;17
28/11/2012 10:33;28/11/2012 10:45;Spare_Time/TV;17
28/11/2012 10:50;28/11/2012 11:03;Spare_Time/TV;17
28/11/2012 11:04;28/11/2012 12:27;Leaving;17
28/11/2012 12:28;28/11/2012 12:28;Snack;17
28/11/2012 12:58;28/11/2012 13:14;Spare_Time/TV;17
28/11/2012 13:16;28/11/2012 13:18;Snack;17
28/11/2012 13:54;28/11/2012 14:23;Spare_Time/TV;17
28/11/2012 14:24;28/11/2012 14:24;Toileting;17
28/11/2012 14:25;28/11/2012 14:25;Grooming;17
28/11/2012 14:26;28/11/2012 14:26;Toileting;17
28/11/2012 14:27;28/11/2012 14:27;Grooming;17
28/11/2012 14:28;28/11/2012 16:05;Leaving;17
28/11/2012 16:05;28/11/2012 17:38;Spare_Time/TV;17
28/11/2012 17:40;28/11/2012 17:45;Toileting;17
28/11/2012 17:55;28/11/2012 19:29;Spare_Time/TV;17
28/11/2012 19:30;28/11/2012 19:35;Snack;17
28/11/2012 19:48;28/11/2012 22:14;Leaving;17
28/11/2012 22:15;28/11/2012 22:18;Dinner;17
28/11/2012 22:19;28/11/2012 23:38;Spare_Time/TV;17
28/11/2012 23:54;28/11/2012 23:55;Toileting;17
28/11/2012 23:56;28/11/2012 23:56;Grooming;17
28/11/2012 23:58;29/11/2012 00:00;Grooming;17
29/11/2012 00:00;29/11/2012 00:57;Sleeping;17
29/11/2012 00:58;29/11/2012 00:58;Grooming;17
29/11/2012 00:59;29/11/2012 09:35;Sleeping;18
29/11/2012 09:38;29/11/2012 09:45;Breakfast;18
29/11/2012 09:50;29/11/2012 09:56;Toileting;18
29/11/2012 10:04;29/11/2012 10:06;Grooming;18
29/11/2012 10:15;29/11/2012 10:20;Grooming;18
29/11/2012 10:30;29/11/2012 10:31;Grooming;18
29/11/2012 10:34;29/11/2012 10:36;Toileting;18
29/11/2012 10:45;29/11/2012 13:39;Leaving;18
29/11/2012 14:27;29/11/2012 15:05;Spare_Time/TV;18
29/11/2012 15:08;29/11/2012 15:32;Spare_Time/TV;18
29/11/2012 16:12;29/11/2012 16:12;Grooming;18
29/11/2012 16:13;29/11/2012 16:17;Toileting;18
29/11/2012 16:18;29/11/2012 18:15;Spare_Time/TV;18
29/11/2012 18:16;29/11/2012 18:19;Snack;18
29/11/2012 18:44;29/11/2012 20:58;Spare_Time/TV;18
29/11/2012 21:00;29/11/2012 21:00;Toileting;18
29/11/2012 21:01;29/11/2012 21:01;Grooming;18
29/11/2012 21:02;29/11/2012 21:32;Spare_Time/TV;18
29/11/2012 22:26;29/11/2012 23:35;Dinner;18
30/11/2012 00:18;30/11/2012 01:39;Spare_Time/TV;18
30/11/2012 01:40;30/11/2012 01:40;Toileting;18
30/11/2012 01:41;30/11/2012 10:20;Sleeping;19
30/11/2012 10:25;30/11/2012 10:31;Toileting;19
30/11/2012 10:27;30/11/2012 10:28;Grooming;19
30/11/2012 10:51;30/11/2012 11:51;Breakfast;19
30/11/2012 11:52;30/11/2012 11:56;Grooming;19
30/11/2012 11:57;30/11/2012 12:00;Showering;19
30/11/2012 12:02;30/11/2012 12:03;Grooming;19
30/11/2012 12:04;30/11/2012 12:25;Spare_Time/TV;19
30/11/2012 12:26;30/11/2012 12:30;Grooming;19
30/11/2012 12:54;30/11/2012 12:54;Toileting;19
30/11/2012 12:55;30/11/2012 12:55;Grooming;19
30/11/2012 12:56;30/11/2012 14:35;Spare_Time/TV;19
30/11/2012 15:08;30/11/2012 15:20;Lunch;19
30/11/2012 15:20;30/11/2012 17:29;Spare_Time/TV;19
30/11/2012 17:30;30/11/2012 17:42;Snack;19
30/11/2012 17:46;30/11/2012 17:47;Toileting;19
30/11/2012 17:51;30/11/2012 22:12;Spare_Time/TV;19
30/11/2012 22:12;30/11/2012 22:20;Dinner;19
30/11/2012 22:40;01/12/2012 00:05;Spare_Time/TV;19
01/12/2012 00:10;01/12/2012 00:11;Grooming;19
01/12/2012 00:15;01/12/2012 00:15;Toileting;19
01/12/2012 00:16;01/12/2012 00:16;Grooming;19
01/12/2012 00:18;01/12/2012 09:40;Sleeping;20
01/12/2012 09:46;01/12/2012 09:47;Toileting;20
01/12/2012 09:50;01/12/2012 10:09;Breakfast;20
01/12/2012 10:34;01/12/2012 10:36;Grooming;20
01/12/2012 10:37;01/12/2012 10:43;Showering;20
01/12/2012 10:45;01/12/2012 10:48;Grooming;20
01/12/2012 10:54;01/12/2012 10:54;Grooming;20
01/12/2012 11:29;01/12/2012 11:36;Snack;20
01/12/2012 12:16;01/12/2012 12:49;Leaving;20
01/12/2012 12:52;01/12/2012 12:53;Toileting;20
01/12/2012 13:37;01/12/2012 14:10;Lunch;20
01/12/2012 15:49;01/12/2012 15:53;Snack;20
01/12/2012 18:28;01/12/2012 18:45;Snack;20
01/12/2012 18:52;01/12/2012 18:52;Toileting;20
